Timestamp;trajectory_id;j1_v;j2_v;j3_v;j4_v;j5_v;j6_v;j1_a;j2_a;j3_a;j4_a;j5_a;j6_a;j1_t;j2_t;j3_t;j4_t;j5_t;j6_t
68,1039;1;0,15213;-0,0832;0,12637;0;-0,03987;0,00142;1,63574;-0,03932;-2,47444;-0,00058;-0,6234;0,00006;18,04161;16,61459;42,02465;-6,13309;-2,33079;-1,1543
68,1119;1;0,15213;-0,0832;0,12637;0;-0,03987;0,00142;1,63574;-0,03932;-2,47444;-0,00058;-0,6234;0,00006;21,4053;16,10494;41,16083;-6,47862;-2,68596;-0,86572
68,1189;1;0,1551;-0,08557;0,131;0,00071;-0,03987;0;1,63871;-0,04103;-2,47179;-0,00059;-0,62408;0,00006;21,4053;16,10494;41,16083;-6,47862;-2,68596;-0,86572
68,1269;1;0,1551;-0,08557;0,131;0,00071;-0,03987;0;1,63871;-0,04103;-2,47179;-0,00059;-0,62408;0,00006;21,4053;16,10494;41,16083;-6,47862;-2,68596;-0,86572
68,1349;1;0,1551;-0,08557;0,131;0,00071;-0,03987;0;1,64177;-0,04278;-2,4691;-0,00058;-0,6248;0,00006;18,55126;13,76055;41,67912;-6,13309;-2,2198;-1,04331
68,1419;1;0,15718;-0,08646;0,13456;0,00036;-0,03987;0;1,64177;-0,04278;-2,4691;-0,00058;-0,6248;0,00006;18,55126;13,76055;41,67912;-6,13309;-2,2198;-1,04331
68,1499;1;0,15718;-0,08646;0,13456;0,00036;-0,03987;0;1,64177;-0,04278;-2,4691;-0,00058;-0,6248;0,00006;18,55126;13,76055;41,67912;-6,13309;-2,2198;-1,04331
68,1569;1;0,16164;-0,09033;0,13669;0,00036;-0,04022;0,00392;1,64494;-0,0446;-2,46634;-0,00058;-0,62557;0,00006;19,46863;20,386;40,98807;-5,44204;-2,91904;-1,04331
68,1649;1;0,16164;-0,09033;0,13669;0,00036;-0,04022;0,00392;1,64494;-0,0446;-2,46634;-0,00058;-0,62557;0,00006;19,46863;20,386;40,98807;-5,44204;-2,91904;-1,04331
68,1794;1;0,16164;-0,09033;0,13669;0,00036;-0,04022;0,00392;1,64494;-0,0446;-2,46634;-0,00058;-0,62557;0,00006;19,46863;14,77985;39,82192;-5,44204;-2,04222;-1,50946
68,1871;1;0,16164;-0,09033;0,14132;0;-0,04485;0,00534;1,64811;-0,04641;-2,46353;-0,00059;-0,62636;0,00006;19,46863;14,77985;39,82192;-5,44204;-2,04222;-1,50946
68,2089;1;0,16164;-0,09033;0,14132;0;-0,04485;0,00534;1,65134;-0,04827;-2,46068;-0,00058;-0,62715;0,00006;18,95898;16,10494;41,85189;-6,13309;-3,03003;-0,98781
68,2168;1;0,16907;-0,09508;0,14274;0,00107;-0,04556;0,00392;1,65462;-0,05017;-2,45781;-0,00059;-0,62795;0,00006;18,04161;19,97828;43,06123;-5,78757;-2,09771;-0,81023
68,2238;1;0,16907;-0,09508;0,14274;0,00107;-0,04556;0,00392;1,65462;-0,05017;-2,45781;-0,00059;-0,62795;0,00006;18,04161;19,97828;43,06123;-5,78757;-2,09771;-0,81023
68,2308;1;0,16907;-0,09508;0,14274;0,00107;-0,04556;0,00392;1,65462;-0,05017;-2,45781;-0,00059;-0,62795;0,00006;18,04161;19,97828;43,06123;-5,78757;-2,09771;-0,81023
68,2388;1;0,17115;-0,09508;0,14417;0;-0,04556;0,00356;1,65799;-0,05215;-2,45486;-0,00058;-0,62884;0,00005;19,46863;18,95898;43,23399;-5,09651;-2,45288;-0,92122
68,2458;1;0,17115;-0,09508;0,14417;0;-0,04556;0,00356;1,65799;-0,05215;-2,45486;-0,00058;-0,62884;0,00005;19,46863;18,95898;43,23399;-5,09651;-2,45288;-0,92122
68,2538;1;0,17115;-0,09508;0,14417;0;-0,04556;0,00356;1,66138;-0,05416;-2,45189;-0,00058;-0,62965;0,00005;21,81302;15,18757;41,3336;-6,13309;-2,33079;-0,98781
